Year,Month,Day,Hour,CH,TH,TS,SA,ZH,PE,MO
2014,6,26,6,0,0.70876,0,0,0,0,0
2014,6,26,7,0,0.73678,0,0,0,0,0
2014,6,26,8,0,0.750615,0,0,0,0,0
2014,6,26,9,0,0.737525,0,0,0,0,0
2014,6,26,10,0,0.62285,0,0,0,0,0
2014,6,26,11,0,0.60442,0,0,0,0,0
2014,6,26,12,0,0.51292,0,0,0,0,0
2014,6,26,13,0,0.389401,0,0,0,0,0
2014,6,26,14,0,0.3515425,0,0,0,0,0
2014,6,26,15,0,0.349206,0,0,0,0,0
2014,6,26,16,0,0.3233435,0,0,0,0,0
2014,6,26,17,0,0.34436,0,0,0,0,0
2014,6,26,18,0,0.3488715,0,0,0,0,0
2014,6,26,19,0,0.3657735,0,0,0,0,0
2014,6,26,20,0,0.3925655,0,0,0,0,0
2014,6,26,21,0,0.3529795,0,0,0,0,0
2014,6,26,22,0,0.3547925,0,0,0,0,0
2014,6,26,23,0,0.3956085,0,0,0,0,0
2014,6,27,0,0,0.403582,0,0,0,0,0
2014,6,27,1,0,0.403761,0,0,0,0,0
2014,6,27,2,0,0.3675465,0,0,0,0,0
2014,6,27,3,0,0.4909815,0,0,0,0,0
2014,6,27,4,0,0.58102,0,0,0,0,0
2014,6,27,5,0,0.547945,0,0,0,0,0
2014,6,27,6,0,0.628,0,0,0,0,0
2014,6,27,7,0,0.573615,0,0,0,0,0
2014,6,27,8,0,0.659055,0,0,0,0,0
2014,6,27,9,0,0.658985,0,0,0,0,0
2014,6,27,10,0,0.61244,0,0,0,0,0
2014,6,27,11,0,0.496371,0,0,0,0,0
2014,6,27,12,0,0.581165,0,0,0,0,0
2014,6,27,13,0,0.56463,0,0,0,0,0
2014,6,27,14,0,0.4645935,0,0,0,0,0
2014,6,27,15,0,0.52538,0,0,0,0,0
2014,6,27,16,0,0.550025,0,0,0,0,0
2014,6,27,17,0,0.552905,0,0,0,0,0
2014,6,27,18,0,0.57549,0,0,0,0,0
2014,6,27,19,0,0.525675,0,0,0,0,0
2014,6,27,20,0,0.4513675,0,0,0,0,0
2014,6,27,21,0,0.4286375,0,0,0,0,0
2014,6,27,22,0,0.3449125,0,0,0,0,0
2014,6,27,23,0,0.362892,0,0,0,0,0
2014,6,28,0,0,0.3623305,0,0,0,0,0
2014,6,28,1,0,0.409915,0,0,0,0,0
2014,6,28,2,0,0.453359,0,0,0,0,0
2014,6,28,3,0,0.4516045,0,0,0,0,0
2014,6,28,4,0,0.552385,0,0,0,0,0
2014,6,28,5,0,0.59629,0,0,0,0,0
2014,6,28,6,0,0.63786,0,0,0,0,0
2014,6,28,7,0,0.627755,0,0,0,0,0
2014,6,28,8,0,0.630735,0,0,0,0,0
2014,6,28,9,0,0.582175,0,0,0,0,0
2014,6,28,10,0,0.54925,0,0,0,0,0
2014,6,28,11,0,0.56303,0,0,0,0,0
2014,6,28,12,0,0.558385,0,0,0,0,0
2014,6,28,13,0,0.507,0,0,0,0,0
2014,6,28,14,0,0.495282,0,0,0,0,0
2014,6,28,15,0,0.482476,0,0,0,0,0
2014,6,28,16,0,0.55562,0,0,0,0,0
2014,6,28,17,0,0.56689,0,0,0,0,0
2014,6,28,18,0,0.57182,0,0,0,0,0
2014,6,28,19,0,0.552645,0,0,0,0,0
2014,6,28,20,0,0.510445,0,0,0,0,0
2014,6,28,21,0,0.429999,0,0,0,0,0
2014,6,28,22,0,0.4408005,0,0,0,0,0
2014,6,28,23,0,0.51553,0,0,0,0,0
2014,6,29,0,0,0.3937135,0,0,0,0,0
2014,6,29,1,0,0.389424,0,0,0,0,0
2014,6,29,2,0,0.349167,0,0,0,0,0
2014,6,29,3,0,0.4039665,0,0,0,0,0
2014,6,29,4,0,0.4769535,0,0,0,0,0
2014,6,29,5,0,0.524315,0,0,0,0,0
2014,6,29,6,0,0.58233,0,0,0,0,0
2014,6,29,7,0,0.66967,0,0,0,0,0
2014,6,29,8,0,0.68402,0,0,0,0,0
2014,6,29,9,0,0.63485,0,0,0,0,0
2014,6,29,10,0,0.4319825,0,0,0,0,0
2014,6,29,11,0,0.443033,0,0,0,0,0
2014,6,29,12,0,0.54828,0,0,0,0,0
2014,6,29,13,0,0.55411,0,0,0,0,0
2014,6,29,14,0,0.4717365,0,0,0,0,0
2014,6,29,15,0,0.424311,0,0,0,0,0
2014,6,29,16,0,0.364493,0,0,0,0,0
2014,6,29,17,0,0.365121,0,0,0,0,0
2014,6,29,18,0,0.3443675,0,0,0,0,0
2014,6,29,19,0,0.3638715,0,0,0,0,0
2014,6,29,20,0,0.407429,0,0,0,0,0
2014,6,29,21,0,0.3325895,0,0,0,0,0
2014,6,29,22,0,0.354357,0,0,0,0,0
2014,6,29,23,0,0.379717,0,0,0,0,0
2014,6,30,0,0,0.467623,0,0,0,0,0
2014,6,30,1,0,0.368268,0,0,0,0,0
2014,6,30,2,0,0.4839435,0,0,0,0,0
